O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Science
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,Science
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,Technology
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Media
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Healthcare
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,Business
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Healthcare
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,Engineering
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,Finance
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Science
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,Government
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Technology
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,Healthcare
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,Media
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,Healthcare
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,Business
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Creative Arts
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Healthcare
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,Healthcare
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,Education
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Finance
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,Healthcare
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,Healthcare
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,Finance
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,Engineering
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Healthcare
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,Creative Arts
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Government
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Government
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,Business
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Government
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Government
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Government
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,Engineering
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,Engineering
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,Engineering
